resource,path,method,summary,parameter_count,parameters
/arrays,/arrays.json/unassigned,GET,List Arrays not assigned to a Profile,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'baseMacAddress'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""baseMacAddress\"", \""serialNumber\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/unassigned,PUT,Remove Arrays from any Profile,1,"[""description : List of Array IDs to remove from Profiles\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[string]\n""]"
/arrays,/arrays.json/global,GET,List Arrays for all Tenants,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'globalSerialNumber'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""globalSerialNumber\"", \""globalMacAddress\"", \""globalArrayId\"", \""globalActivationStatus\"", \""penaltyType\"", \""reportedAosVersion\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/{arrayId},GET,Get Array,1,"[""name : arrayId\ndescription : ID of Array that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/{arrayId},PUT,Update Array,2,"[""name : arrayId\ndescription : ID of Array to update\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n"", ""description : Updated Array\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : XirrusArrayDto\n""]"
/arrays,/arrays.json/{arrayId},DELETE,Delete Array,1,"[""name : arrayId\ndescription : ID of Array that needs to be deleted\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/global/serialnumber/{serialNumber},GET,Get Array and Tenant by serial number from global storage,1,"[""name : serialNumber\ndescription : Serial Number of Array that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/global/{arrayId},GET,Get Array and Tenant by ID from global storage,1,"[""name : arrayId\ndescription : ID of Array that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/stats/throughput,GET,Get Array throughput time series data,2,"[""name : hours\ndescription : Hours to display - accepted is 1, 24(day), 168(week), 720(month)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n"", ""name : period\ndescription : Period, in minutes - accepted is 5, 60(hour), 360(6 hour), 1440(day)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n""]"
/arrays,/arrays.json/stats/top,GET,List Top Arrays,5,"[""name : hours\ndescription : Window to display in hours, accepted 1, 24(day), 168(week), 720(month)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n"", ""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 10\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'totalBytes'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""rxBytes\"", \""txBytes\"", \""totalBytes\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'desc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/systeminfo/{arrayId},GET,Get Array System Info,1,"[""name : arrayId\ndescription : ID of Array to update\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/actions/optimize,POST,Perform optimization actions on Arrays,1,"[""description : Data\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : OptimizationActionDto\n""]"
/arrays,/arrays.json/actions/optimize/check,POST,Optimization check,1,"[""description : Array IDs\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[string]\n""]"
/arrays,/arrays.json/factorydefault,POST,Factory Reset Array,1,"[""description : IDs of Arrays to factory reset\nparamType : body\nrequired : false\nallowMultiple : false\ndataType : List[string]\n""]"
/arrays,/arrays.json/reboot,POST,Reboot Array,1,"[""description : IDs of Arrays to factory reset\nparamType : body\nrequired : false\nallowMultiple : false\ndataType : List[string]\n""]"
/arrays,/arrays.json/backoffice/penalty,GET,List Penalized Arrays,3,"[""name : tenantId\ndescription : Tenant ID to filter Arrays\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'tenantId'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""tenantId\"", \""serialNumber\"", \""penaltyType\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/backoffice/penalty,POST,Bulk clear Array penalty,1,"[""description : List of Serial numbers to clear\nparamType : body\nrequired : false\nallowMultiple : false\ndataType : List[string]\n""]"
/arrays,/arrays.json/{arrayId}/activation/reset,PUT,Reset Activation status,1,"[""name : arrayId\ndescription : ID of Array to reset\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/arrays,/arrays.json/{arrayId}/activation/expire,PUT,Expire Array,1,"[""name : arrayId\ndescription : ID of Array to expire\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/mobile,/mobile.json/,GET,List Mobile Carriers,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'country'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""country\"", \""provider\"", \""enabled\"", \""custom\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/mobile,/mobile.json/,POST,Add Mobile Carrier,1,"[""description : Mobile Carrier\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[MobileCarrierDto]\n""]"
/mobile,/mobile.json/countries,GET,Get Carriers by country,2,"[""name : default\ndescription : Show default carriers\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : boolean\n"", ""name : custom\ndescription : Show custom carriers\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : boolean\n""]"
/mobile,/mobile.json/{carrierId},DELETE,Delete Mobile Carrier,1,"[""name : carrierId\ndescription : Mobile carrier id\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/mobile,/mobile.json/{carrierId},PUT,Update Mobile Carrier,2,"[""name : carrierId\ndescription : Mobile carrier id\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n"", ""description : Mobile Carrier\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : MobileCarrierDto\n""]"
/clients,/clients.json/,GET,List Clients,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'clientMacAddress'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""clientMacAddress\"", \""clientHostName\"", \""capability\"", \""lastSeen\"", \""manufacturer\"", \""deviceType\"", \""deviceClass\"", \""online\"", \""ipAddress\"", \""activeHostIp\"", \""operatingMode\"", \""lastArrayHostName\"", \""location\"", \""sessionLength\"", \""rssi\"", \""txConnectRate\"", \""rxConnectRate\"", \""band\"", \""channel\"", \""iap\"", \""txthroughput\"", \""rxthroughput\"", \""throughput\"", \""totalBytes\"", \""txTotalRetries\"", \""txTotalErrors\"", \""txPackets\"", \""txBytes\"", \""rxTotalRetries\"", \""rxTotalErrors\"", \""rxPackets\"", \""rxBytes\"", \""retryPct\"", \""errorPct\"", \""keyMgmt\"", \""encType\"", \""cipher\"", \""ssid\"", \""vlan\"", \""userName\"", \""profileName\"", \""status\"", \""onlineStatus\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/clients,/clients.json/stats/top,GET,List Top Clients,5,"[""name : hours\ndescription : Window to display in hours, accepted 1, 24(day), 168(week), 720(month)\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 10\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'totalBytes'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""rxBytes\"", \""txBytes\"", \""totalBytes\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'desc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/clients,/clients.json/summary,GET,Get Client summary,0,[]
/clients,/clients.json/stats/throughput,GET,Get Client throughput time series data,2,"[""name : hours\ndescription : Hours to display - accepted is 1, 24(day), 168(week), 720(month)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n"", ""name : period\ndescription : Period, in minutes - accepted is 5, 60(hour), 360(6 hour), 1440(day)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n""]"
/clients,/clients.json/stats/device,GET,Get Clients by Devices,3,"[""name : hours\ndescription : Window to display, in hours. Default as 24\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 5\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'totalBytes'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""txBytes\"", \""rxBytes\"", \""totalBytes\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/clients,/clients.json/stats/manufacturer,GET,Get Clients by Manufacturer,3,"[""name : hours\ndescription : Window to display, in hours. Default as 24\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 5\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'totalBytes'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""txBytes\"", \""rxBytes\"", \""totalBytes\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/clients,/clients.json/stats/category,GET,Get Applications by Category,5,"[""name : hours\ndescription : Time interval\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 10\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'totalBytes'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""txBytes\"", \""rxBytes\"", \""totalBytes\"", \""description\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : useOther\ndescription : Use 'Other' entry, default as 'false'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""true\"", \""false\""]}\nrequired : false\nallowMultiple : false\ndataType : boolean\n""]"
/clients,/clients.json/stats/application,GET,Get Applications,5,"[""name : hours\ndescription : Time interval\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 10\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'totalBytes'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""txBytes\"", \""rxBytes\"", \""totalBytes\"", \""name\"", \""risk\"", \""productivity\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : useOther\ndescription : Use 'Other' entry, default as 'false'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""true\"", \""false\""]}\nrequired : false\nallowMultiple : false\ndataType : boolean\n""]"
/clients,/clients.json/stats/count,GET,Get Client count time series data,2,"[""name : hours\ndescription : Hours to display - accepted is 1, 24(day), 168(week), 720(month)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n"", ""name : period\ndescription : Period, in minutes - accepted is 5, 60(hour), 360(6 hour), 1440(day)\nparamType : query\nrequired : true\nallowMultiple : false\ndataType : int\n""]"
/clients,/clients.json/actions/reset,PUT,Reset Clients,1,"[""description : IDs of Clients to reset\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[string]\n""]"
/clients,/clients.json/actions/block,PUT,Block Clients,1,"[""description : IDs of Clients to block\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[string]\n""]"
/aosversions,/aosversions.json/aosversionbox/circles/{aosVersionBoxId},GET,List all TenantCircles for a Version Box,5,"[""name : aosVersionBoxId\ndescription : ID of AOS Version Box to find\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n"", ""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'name'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""name\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'desc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/aosversionbox/circles/{aosVersionBoxId},PUT,Assign Tenant Circles to an AOS Version Box,2,"[""name : aosVersionBoxId\ndescription : ID of AOS Version to be updated\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n"", ""description : Tenant Circle IDs\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : List[string]\n""]"
/aosversions,/aosversions.json/version/{aosVersionName},GET,Get AOS Version by name,1,"[""name : aosVersionName\ndescription : Name of AOS Version that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/aosversionbox,POST,Add AOS Version Box,1,"[""description : New AOS Version Box\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : AosVersionBoxDto\n""]"
/aosversions,/aosversions.json/aosversionbox,GET,List all AOS Version Boxes,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'name'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""name\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'desc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/{aosVersionId},DELETE,Delete AOS Version,1,"[""name : aosVersionId\ndescription : ID of AOS Version that needs to be deleted\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/{aosVersionId},GET,Get AOS Version,1,"[""name : aosVersionId\ndescription : ID of AOS Version that needs to be fetched\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/{aosVersionId},PUT,Update AOS Version,2,"[""name : aosVersionId\ndescription : ID of AOS Version to be updated\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n"", ""description : Updated AOS Version\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : AosVersionInfoDto\n""]"
/aosversions,/aosversions.json/aosversionbox/{aosVersionBoxId},DELETE,Delete AOS Version Box,1,"[""name : aosVersionBoxId\ndescription : ID of AOS Version Box that needs to be deleted\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/aosversionbox/{aosVersionBoxId},GET,Get AOS Version Box by ID,1,"[""name : aosVersionBoxId\ndescription : ID of AOS Version Box to find\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/,GET,List active AOS Versions,5,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'version'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""version\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'desc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : includeBeta\ndescription : Include beta versions, default as 'false'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""false\"", \""true\""]}\nrequired : false\nallowMultiple : false\ndataType : boolean\n""]"
/aosversions,/aosversions.json/,POST,Add AOS Version,1,"[""description : New AOS Version\nparamType : body\nrequired : true\nallowMultiple : false\ndataType : AosVersionInfoDto\n""]"
/aosversions,/aosversions.json/all,GET,List all AOS Versions,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'version'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""version\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'desc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/aosversions,/aosversions.json/aosversionbox/name/{aosVersionBoxName},GET,Get AOS Version Box by name,1,"[""name : aosVersionBoxName\ndescription : Name of AOS Version Box to find\nparamType : path\nrequired : true\nallowMultiple : false\ndataType : string\n""]"
/auditlog,/auditlog.json/,GET,List Audit Logs for Date Range,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'startTime'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""startTime\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
/auditlog,/auditlog.json/global,GET,List global Audit Logs for Date Range,4,"[""name : start\ndescription : The start index of the return list, default as 0\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : count\ndescription : The size of the return list, default as 50\nparamType : query\nrequired : false\nallowMultiple : false\ndataType : int\n"", ""name : sortBy\ndescription : The property by which the returned list is sorted, default as 'startTime'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""startTime\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n"", ""name : sortOrder\ndescription : Sort order, default as 'asc'\nparamType : query\nallowableValues : {\""valueType\""=>\""LIST\"", \""values\""=>[\""asc\"", \""desc\""]}\nrequired : false\nallowMultiple : false\ndataType : string\n""]"
